Codigo_Medicamento,Numero_Lote,Cantidad,Costo_Unitario,Precio_Venta,Fecha_Vencimiento,Fecha_Recepcion,Lote_Proveedor,Ubicacion_Fisica,Stock_Minimo
CHU-352,LOTE-CHU-2024-227,43,1.60,2.00,2027-12-31,2024-01-15,,Bodega,10
CHU-353,LOTE-CHU-2024-228,63,5.60,7.00,2027-12-31,2024-01-15,,Bodega,10
CHU-354,LOTE-CHU-2024-229,5,28.00,35.00,2027-12-31,2024-01-15,,Bodega,3
CHU-357,LOTE-CHU-2024-230,1,20.00,25.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-365,LOTE-CHU-2024-231,2,36.00,45.00,2026-12-31,2024-01-15,,Bodega,2
CHU-375,LOTE-CHU-2024-232,40,8.00,10.00,2027-12-31,2024-01-15,,Farmacia,10
CHU-376,LOTE-CHU-2024-233,10,40.00,50.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-378,LOTE-CHU-2024-234,1,28.00,35.00,2027-12-31,2024-01-15,,Bodega,2
CHU-379,LOTE-CHU-2024-235,1,28.00,35.00,2027-12-31,2024-01-15,,Bodega,2
CHU-381,LOTE-CHU-2024-236,3,28.00,35.00,2027-12-31,2024-01-15,,Bodega,3
CHU-382,LOTE-CHU-2024-237,7,28.00,35.00,2027-12-31,2024-01-15,,Bodega,5
CHU-383,LOTE-CHU-2024-238,3,12.00,15.00,2026-12-31,2024-01-15,,Bodega,3
CHU-385,LOTE-CHU-2024-239,2,2.40,3.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-386,LOTE-CHU-2024-240,16,64.00,80.00,2026-12-31,2024-01-15,,Bodega,10
CHU-387,LOTE-CHU-2024-241,17,64.00,80.00,2026-12-31,2024-01-15,,Bodega,10
CHU-388,LOTE-CHU-2024-242,14,64.00,80.00,2026-12-31,2024-01-15,,Bodega,10
CHU-389,LOTE-CHU-2024-243,2,60.00,75.00,2026-12-31,2024-01-15,,Bodega,2
CHU-391,LOTE-CHU-2024-244,12,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-392,LOTE-CHU-2024-245,33,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-393,LOTE-CHU-2024-246,11,4.80,6.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-394,LOTE-CHU-2024-247,1,60.00,75.00,2026-12-31,2024-01-15,,Refrigerador,2
CHU-395,LOTE-CHU-2024-248,14,28.00,35.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-396,LOTE-CHU-2024-249,12,12.00,15.00,2026-12-31,2024-01-15,,Refrigerador,5
CHU-397,LOTE-CHU-2024-250,1,72.00,90.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-401,LOTE-CHU-2024-251,1,56.00,70.00,2026-06-30,2024-01-15,,Refrigerador,2
CHU-404,LOTE-CHU-2024-252,7,28.00,35.00,2027-12-31,2024-01-15,,Bodega,5
CHU-405,LOTE-CHU-2024-253,3,12.00,15.00,2027-12-31,2024-01-15,,Bodega,3
CHU-407,LOTE-CHU-2024-254,9,64.00,80.00,2026-12-31,2024-01-15,,Farmacia,5
CHU-408,LOTE-CHU-2024-255,40,64.00,80.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-409,LOTE-CHU-2024-256,33,12.00,15.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-410,LOTE-CHU-2024-257,23,16.00,20.00,2026-12-31,2024-01-15,,Farmacia,10
CHU-411,LOTE-CHU-2024-258,100,2.40,3.00,2027-06-30,2024-01-15,,Farmacia,20
CHU-412,LOTE-CHU-2024-259,4,2.40,3.00,2026-06-30,2024-01-15,,Refrigerador,3
CHU-414,LOTE-CHU-2024-260,840,6.40,8.00,2027-06-30,2024-01-15,,Farmacia,100
CHU-415,LOTE-CHU-2024-261,1,28.00,35.00,2027-06-30,2024-01-15,,Farmacia,2
CHU-416,LOTE-CHU-2024-262,9,12.00,15.00,2027-06-30,2024-01-15,,Refrigerador,5
